ご依頼者,顧客名,lot_id,サンプル種別,検体識別番号
希工房,(有)希工房,2023010101H0001,品種A,1
希工房,(有)希工房,2023010102H0002,品種B,2
希工房,(有)希工房,2023010103H0003,品種B,3
広技研,(有)広技研,2023010104H0004,品種C,4
広技研,(有)広技研,2023010105H0005,品種B,5
広技研,(有)広技研,2023010106H0006,品種B,6
広技研,(有)広技研,2023010107H0007,品種B,7
北工房,(株)北工房,2023010108H0008,品種D,8
北工房,(株)北工房,2023010109H0009,品種A,9
北工房,(株)北工房,2023010110H0010,品種A,10
北工房,(株)北工房,2023010111H0011,品種A,11
北工房,(株)北工房,2023010112H0012,品種B,12
北工房,(株)北工房,2023010113H0013,品種B,13
北工房,(株)北工房,2023010114H0014,品種E,14
長谷川由美,長谷川由美,-,品種F,15
長谷川由美,長谷川由美,-,品種F,16
長谷川由美,長谷川由美,-,品種G,17
長谷川由美,長谷川由美,-,品種G,18
長谷川由美,長谷川由美,-,品種G,19
長谷川由美,長谷川由美,-,品種G,20
長谷川由美,長谷川由美,-,品種F,21
長谷川由美,長谷川由美,-,品種F,22
長谷川由美,長谷川由美,-,品種G,23
長谷川由美,長谷川由美,-,品種G,24
TUV Inc.,TUV Inc.,-,品種G,25
TUV Inc.,TUV Inc.,-,品種G,26
TUV Inc.,TUV Inc.,-,品種G,27
TUV Inc.,TUV Inc.,-,品種F,28
TUV Inc.,TUV Inc.,-,品種F,29
TUV Inc.,TUV Inc.,-,品種F,30
加藤正,加藤正氏,-,品種G,31
加藤正,加藤正氏,-,品種H,32
池田俊,池田俊,2023010115H0015,品種I,33
池田俊,池田俊,2023010116H0016,品種I,34
池田俊,池田俊,2023010117H0017,品種I,35
池田俊,池田俊,2023010118H0018,品種J,36
池田俊,池田俊,2023010119H0019,品種J,37
池田俊,池田俊,2023010120H0020,品種I,38
池田俊,池田俊,2023010121H0021,品種I,39
池田俊,池田俊,2023010122H0022,品種I,40
池田俊,池田俊,2023010123H0023,品種I,41
池田俊,池田俊,2023010124H0024,品種I,42
池田俊,池田俊,2023010125H0025,品種I,43
池田俊,池田俊,2023010126H0026,品種I,44
池田俊,池田俊,2023010127H0027,品種I,45
池田俊,池田俊,2023010128H0028,品種B,46
池田俊,池田俊,2023010129H0029,品種J,47
