customer_id,customer_name,contact,scale_metric,region
C001,(有)希工房,担当者01,160.0,地域K
C002,(有)広技研,担当者02,,地域T
C003,(株)北工房,担当者03,30.0,地域Q
C004,長谷川由美,担当者04,,地域J
C005,TUV Inc.,担当者05,,地域T
C006,加藤正氏,担当者06,,地域R
C007,池田俊,担当者07,,地域R
C008,(有)希技研,担当者08,,地域T
C009,吉田博,担当者09,,地域R
C010,田中剛,担当者10,,地域J
C011,(株)桜電機,担当者11,60.0,地域M
C012,(株)新光工業,担当者12,26.0,地域M
C013,(有)誠製作所,担当者13,60.0,地域M
C014,GHX Ltd.,担当者14,50.0,地域H
C015,栄製作所,担当者15,30.0,地域M
C016,(株)徳サービス,担当者16,40.0,地域G
C017,株広化学,担当者17,80.0,地域K
C018,栄サービス,担当者18,111.0,地域K
C019,(有)栄興業,担当者19,30.0,地域V
C020,(有)広商事,担当者20,35.0,地域Q
C021,(株)西製作所,担当者21,34.0,地域I
C022,(株)桜物産,担当者22,20.0,地域B
C023,東システム,担当者23,31.0,地域K
C024,(株)明電機,担当者24,15.0,地域N
C025,新光設備,担当者25,60.0,地域E
C026,(株)豊技研,担当者26,40.0,地域K
C027,(株)誠技研,担当者27,60.0,地域U
C028,小林花子,担当者28,25.0,地域O
C029,伊藤直,担当者29,15.0,地域U
C030,晴産業,担当者30,70.0,地域F
C031,田中次郎,担当者31,,地域O
C032,佐藤隆,担当者32,4.5,地域C
C033,㈲新光商会,担当者33,,地域T
C034,㈲豊商会,担当者34,115.0,地域T
C035,小林俊,担当者35,30.0,地域T
C036,(株)光技研,担当者36,8.2,地域T
C037,㈱山サービス,担当者37,,地域H
C038,㈱和興業,担当者38,25.0,地域T
C039,木村由美,担当者39,25.0,地域A
C040,前田雄,担当者40,15.0,地域A
C041,(株)希工業,担当者41,20.0,地域A
C042,(有)栄物産,担当者42,25.0,地域L
C043,GHX Inc.,担当者43,46.0,地域L
C044,(株)桜興業,担当者44,33.0,地域L
C045,加藤剛様,担当者45,22.0,地域R
C046,海製作所,担当者46,33.5,地域S
C047,後藤洋子,担当者47,25.0,地域R
C048,海技研,担当者48,40.0,地域S
C049,小林恵子様,担当者49,38.0,地域R
C050,近藤花子,担当者50,14.0,地域P
